Supplier Name,Contact,Address,Location,Item,Item Description,Price,Remarks,Item_label,Detail_label,Price_label,Material,Front Design Size (tshirt),Front Design Color (tshirt),Front Design Printing Method (tshirt),Back Design Size (tshirt),Back Design Color (tshirt),Back Design Printing Method (tshirt),Sleeve Design Size (tshirt),Sleeve Design Color (tshirt),Sleeve Design Printing Method (tshirt),Colors,Printing Method
Printship,+60-14-346-3029,"103A-A, Jalan Perdana 4, Pusat Perniagaan Slim Perdana, 35800 Slim River, Perak","Slim River, Perak",T-shirt Quotation,"**Type:** Round neck, **Material:** Microfibre 100%, **Printing:** Full Sublimation (Follow Colour Code), **Quantity:** 300pcs",RM 25/pc,-,Tshirt,Microfiber; Sublimation,"300pcs, RM25/pc",Microfiber,Full Sublimation Print,Full,Sublimation,Full Sublimation Print,Full,Sublimation,Full Sublimation Print,Full,Sublimation,Full,Sublimation
Printship,+60-14-346-3029,"103A-A, Jalan Perdana 4, Pusat Perniagaan Slim Perdana, 35800 Slim River, Perak","Slim River, Perak",Round Neck T Shirt,"**Type:** Ready Made, **Material:** Microfibre, **Sleeves:** Short, **Printing:** Silkscreen 2 Color x 2 side (front A4, back logo size), **Quantity:** 300pcs",RM 13.50/pc,-,Tshirt,"Microfiber; Silkscreen printing: front A4 size, back A4 size, 2 colors printing","300pcs, RM13.50/pc",Microfiber,A4 size,2 Colors,Silkscreen,A4 size,2 Colors,Silkscreen,Blank,,,2 Colors,Silkscreen
Pure Color Tee,+60-11-3225-3222,"Pusat Perdagangan, No A-G-18, Jalan Bukit Serdang 14/1, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor","Seri Kembangan, Selangor",Microfiber T-Shirt,"**Printing:** Front & Back (2 Colors A4 size), **Qty:** 300 pcs",RM 12.50 / pcs,-,Tshirt,"Microfiber; Silkscreen printing: front A4 size, back A4 size, 2 colors printing","300pcs, RM12.50/pc",Microfiber,A4 size,2 Colors,Silkscreen,A4 size,2 Colors,Silkscreen,Blank,,,2 Colors,Silkscreen
Pure Color Tee,+60-11-3225-3222,"Pusat Perdagangan, No A-G-18, Jalan Bukit Serdang 14/1, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor","Seri Kembangan, Selangor",Microfiber T-Shirt,"**Printing:** Full sublimation, **Qty:** 300 pcs",RM 14.00 / pcs,-,Tshirt,Microfiber; Sublimation,"300pcs, RM14/pc",Microfiber,Full Sublimation Print,Full,Sublimation,Full Sublimation Print,Full,Sublimation,Full Sublimation Print,Full,Sublimation,Full,Sublimation
Pure Color Tee,+60-11-3225-3222,"Pusat Perdagangan, No A-G-18, Jalan Bukit Serdang 14/1, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor","Seri Kembangan, Selangor",T-Shirt,"**Material:** Cotton 160gsm, **Printing:** DTF print, **Print areas:** Front within A4 size, Back within A3 size, Sleeve, **Qty:** 90pcs",RM 21 / pcs,-,Tshirt,"Cotton 160gsm; DTF printing: front A4 size, back A3 size, 1 sleeve logo size","90pcs, RM21/pc",Cotton,A4 size,Full,DTF,A3 size,Full,DTF,Logo size-one sleeve,Full,DTF,Full,DTF
Leng Yen Silkscreen,+60-12-726-6673,"4, Jalan Budi Tengah 1, Taman Wawasan Perindustrian, 83000 Batu Pahat, Johor Darul Ta'zim","Batu Pahat, Johor",Roundneck T-shirt,"**Material:** Microfiber, **Printing:** Silkscreen (Front 2 color, Back 2 color), **Quantity:** 300pcs (50pcs green, 250pcs orange)",RM 15/pc,-,Tshirt,"Microfiber; Silkscreen printing: front A4 size, back A4 size, 2 colors printing","300pcs, RM15/pc",Microfiber,A4 size,2 Colors,Silkscreen,A4 size,2 Colors,Silkscreen,Blank,,,2 Colors,Silkscreen
Leng Yen Silkscreen,+60-12-726-6673,"4, Jalan Budi Tengah 1, Taman Wawasan Perindustrian, 83000 Batu Pahat, Johor Darul Ta'zim","Batu Pahat, Johor",Roundneck T-shirt,"**Material:** Cotton 160gsm, **Printing:** DTF, **Print areas:** Front 21.9cm x 17.3cm, Back 28.5cm x 34.6cm, Sleeve 6.7cm x 1.6cm, **Quantity:** 90pcs",RM 24.50/pc,-,Tshirt,"Cotton 160gsm; DTF printing: front A4 size, back A3 size, 1 sleeve logo size","90pcs, RM24.50/pc",Cotton,A4 size,Full,DTF,A3 size,Full,DTF,Logo size-one sleeve,Full,DTF,Full,DTF
Brilliant Apparel,+60-17-749-5847 / '+60-19-299-8888,"17, JLN Susur Perdana Utama, Taman Bukit Perdana 83000 Batu Pahat, Johor","Batu Pahat, Johor",Cotton Round Neck,"**Quantity:** 110pcs, **Printing:** Front 21.9cm x 17.3cm, Back 28.5cm x 34.6cm, Sleeve 6.7cm x 1.6cm","With Different Name: RM25/pcs, Without Name: RM24/pcs",Price is including one-time delivery within West Malaysia.,Tshirt,"Cotton 160gsm; DTF printing: front A4 size, back A3 size, 1 sleeve logo size","110pcs, RM24/pc;
add on custom name, RM25/pc",Cotton,A4 size,Full,DTF,A3 size,Full,DTF,Logo size-one sleeve,Full,DTF,Full,DTF
Brilliant Apparel,+60-17-749-5847 / '+60-19-299-8888,"17, JLN Susur Perdana Utama, Taman Bukit Perdana 83000 Batu Pahat, Johor","Batu Pahat, Johor",Microfiber T-shirt,"**Quantity:** 300 pcs, **Printing:** Front (within A3 size) - 2 color, Back (within A4 size) - 2 color",RM 15/pcs,Price is including one-time delivery within West Malaysia.,Tshirt,"Microfiber; Silkscreen printing: front A3 size, back A4 size, 2 colors printing","300pcs, RM15/pc",Microfiber,A3 size,2 Colors,Silkscreen,A4 size,2 Colors,Silkscreen,Blank,,,2 Colors,Silkscreen
Brilliant Apparel,+60-17-749-5847 / '+60-19-299-8888,"17, JLN Susur Perdana Utama, Taman Bukit Perdana 83000 Batu Pahat, Johor","Batu Pahat, Johor",Microfiber T-shirt,"**Printing:** Sublimation, **Quantity:** Not specified",RM 16/pcs,Price is including one-time delivery within West Malaysia.,Tshirt,Microfiber; Sublimation,"300pcs, RM16/pc",Microfiber,Full Sublimation Print,Full,Sublimation,Full Sublimation Print,Full,Sublimation,Full Sublimation Print,Full,Sublimation,Full,Sublimation
